"key","de","ar","et","it"
"THE__YOU__MOVE__ANY","Bewege dich!","تحرّك!",,
"THE__YOU__STORE_IN_BIG_STORAGE__ANY",,,,
"THE__YOU__STORE_IN_BIG_STORAGE__A__BUS","Steig in einen Bus!","اركب الحافلة!",,
"THE__YOU__STORE_IN_BIG_STORAGE__A__BUS__BLUE","Steig in einen blauen Bus!","اركب حافلة زرقاء!",,
"THE__YOU__STORE_IN_BIG_STORAGE__A__BUS__RED_AND_YELLOW","Steig in einen roten und gelben Bus!","اركب حافلة حمراء وصفراء!",,
"THE__YOU__STORE_IN_BIG_STORAGE__THE__BUS__BLUE","Steig in den blauen Bus!","اركب الحافلة الزرقاء!",,
"THE__YOU__STORE_IN_BIG_STORAGE__THE__BUS__RED_AND_YELLOW","Steig in den roten und gelben Bus!","اركب الحافلة الحمراء والصفراء!",,
"ANY__TRAVEL__ANY",,,,
"ANY__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__BUILDING","Parke das Auto vor dem Gebäude!","أوقف السيارة أمام المبنى!",,
"ANY__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__CHURCH","Parke das Auto vor der Kirche!","أوقف السيارة أمام الكنيسة!",,
"ANY__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__HOUSE","Parke das Auto vor dem Haus!","أوقف السيارة أمام المنزل!",,
"ANY__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__BUILDING","Parke das Auto vor dem Gebäude!","أوقف السيارة أمام المبنى!",,
"ANY__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__CHURCH","Parke das Auto vor der Kirche!","أوقف السيارة أمام الكنيسة!",,
"ANY__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__HOUSE","Parke das Auto vor dem Haus!","أوقف السيارة أمام المنزل!",,
"THE__CAR__MOVE__ANY",,,,
"THE__CAR__TRAVEL__ANY","Fahre mit dem Auto!","السفر بالسيارة",,
"THE__CAR__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__BUILDING","Parke das Auto vor dem Gebäude!","أوقف السيارة أمام المبنى!",,
"THE__CAR__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__CHURCH","Parke das Auto vor der Kirche!","أوقف السيارة أمام الكنيسة!",,
"THE__CAR__TRAVEL__A__PARKING_LOT__INFRONT_OF__THE__HOUSE","Parke das Auto vor dem Haus!","أوقف السيارة أمام المنزل!",,
"THE__CAR__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__BUILDING","Parke das Auto vor dem Gebäude!","أوقف السيارة أمام المبنى!",,
"THE__CAR__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__CHURCH","Parke das Auto vor der Kirche!","أوقف السيارة أمام الكنيسة!",,
"THE__CAR__TRAVEL__THE__PARKING_LOT__INFRONT_OF__THE__HOUSE","Parke das Auto vor dem Haus!","أوقف السيارة أمام المنزل!",,
"ANY__TRAVEL__A__PARKING_LOT__BEHIND__THE__BUILDING",,,,
"ANY__TRAVEL__A__PARKING_LOT__BEHIND__THE__CHURCH",,,,
"ANY__TRAVEL__A__PARKING_LOT__BEHIND__THE__HOUSE",,,,
"THE__CAR__TRAVEL__A__PARKING_LOT__BEHIND__THE__BUILDING","Parke das Auto hinter dem Gebäude!","أوقف السيارة خلف المبنى!",,
